City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Mogadishu,SO,5/13/2020 19:39,2.04,45.34,81.12,86,100,9.98
249,Cap Malheureux,MU,5/13/2020 19:43,-19.98,57.61,71.01,77,100,5.99
250,Rio Grande,BR,5/13/2020 19:38,-32.03,-52.1,68,64,75,11.41
251,Vaitape,PF,5/13/2020 19:43,-16.52,-151.75,82.62,75,9,15.88
252,Valparaiso,CL,5/13/2020 19:43,-33.04,-71.63,68,40,0,4.7
253,Adoni,IN,5/13/2020 19:43,15.63,77.28,86.07,45,4,11.5
254,Alta Floresta,BR,5/13/2020 19:43,-9.88,-56.09,83.84,79,22,3.56
255,Milkovo,RU,5/13/2020 19:43,54.72,158.62,41.14,68,0,1.14
256,Daru,PG,5/13/2020 19:43,-9.08,143.21,78.62,83,68,12.15
257,Mafinga,TZ,5/13/2020 19:43,-7.25,35.07,71.83,71,28,3.8
258,Makurdi,NG,5/13/2020 19:43,7.74,8.51,83.16,73,100,5.88
259,Beni Mazar,EG,5/13/2020 19:43,28.5,30.8,83.91,15,100,18.41
260,Kloulklubed,PW,5/13/2020 19:43,7.04,134.26,78.8,94,75,8.97
261,Vila Velha,BR,5/13/2020 19:43,-20.33,-40.29,79,74,20,14.99
262,Pocri,PA,5/13/2020 19:43,8.27,-80.55,86,65,75,10.29
263,Calama,CL,5/13/2020 19:43,-22.47,-68.93,71.6,10,0,19.46
264,Tiksi,RU,5/13/2020 19:38,71.69,128.87,29.43,98,99,9.1
265,Murashi,RU,5/13/2020 19:43,59.4,48.96,38.84,86,100,12.28
266,Srednekolymsk,RU,5/13/2020 19:43,67.45,153.68,41.25,76,12,7.47
267,Sioux Lookout,CA,5/13/2020 19:43,50.1,-91.92,55.4,22,90,13.87
268,Adrar,MR,5/13/2020 19:43,20.5,-10.07,88.86,14,0,6.96
269,Marsabit,KE,5/13/2020 19:43,2.33,37.99,69.58,76,85,12.48
270,La Asuncion,VE,5/13/2020 19:43,11.03,-63.86,87.8,58,2,24.16
271,Anchorage,US,5/13/2020 19:41,61.22,-149.9,53.6,50,1,8.05
272,Benghazi,LY,5/13/2020 19:39,32.12,20.07,78.12,33,7,13.65
273,Vitim,RU,5/13/2020 19:43,59.45,112.56,29.07,91,0,3
274,Esperance,AU,5/13/2020 19:43,-33.87,121.9,59,58,93,20.8
275,Mangochi,MW,5/13/2020 19:43,-14.48,35.26,69.39,51,0,3.8
276,Mecca,SA,5/13/2020 19:39,21.43,39.83,89.19,30,61,2.33
277,Broome,US,5/13/2020 19:43,42.25,-75.83,54,34,1,14.99
278,Jaciara,BR,5/13/2020 19:43,-15.97,-54.97,80.28,82,2,1.99
279,Acari,PE,5/13/2020 19:43,-15.43,-74.62,74.73,56,100,8.05
280,Sokolo,ML,5/13/2020 19:43,14.73,-6.12,97.12,23,45,6.82
281,Iglesias,IT,5/13/2020 19:43,39.31,8.54,68,94,75,4.7
282,Tiszafured,HU,5/13/2020 19:43,47.62,20.77,55.4,76,100,9.17
283,Bandarbeyla,SO,5/13/2020 19:43,9.49,50.81,83.28,84,68,11.95
284,Ranong,TH,5/13/2020 19:43,9.97,98.63,80.6,85,100,2.77
285,Shilka,RU,5/13/2020 19:43,51.85,116.03,35.29,69,0,13.24
286,Morondava,MG,5/13/2020 19:43,-20.28,44.28,76.91,70,36,2.37
287,Valleyview,CA,5/13/2020 19:43,55.07,-117.29,61.72,31,63,2.91
288,Barra Do Garcas,BR,5/13/2020 19:43,-15.89,-52.26,86,51,40,3.36
289,Mandurah,AU,5/13/2020 19:43,-32.55,115.7,51.8,81,0,5.28
290,Santo Domingo,DO,5/13/2020 19:43,18.5,-69.99,87.01,86,11,10.83
291,Bayir,TR,5/13/2020 19:43,37.27,28.22,64.4,82,0,4.14
292,Aborlan,PH,5/13/2020 19:43,9.44,118.55,80.49,81,8,2.44
293,Demir Kapija,MK,5/13/2020 19:43,41.41,22.25,64.06,74,1,7.02
294,Luang Prabang,LA,5/13/2020 19:43,19.89,102.13,72.1,88,82,0.96
295,Port Lincoln,AU,5/13/2020 19:43,-34.73,135.87,54.25,63,98,4.07
296,Panguna,PG,5/13/2020 19:43,-6.32,155.48,69.35,97,87,1.66
297,Vadso,NO,5/13/2020 19:43,70.07,29.75,37.4,74,100,11.41
298,Sabha,LY,5/13/2020 19:43,27.04,14.43,83.08,12,0,4.45
299,Miechow,PL,5/13/2020 19:43,50.36,20.03,50,76,75,4.7
300,Dhidhdhoo,MV,5/13/2020 19:43,6.88,73.1,85.73,72,100,5.57
301,Livingstonia,MW,5/13/2020 19:43,-10.61,34.11,63.72,80,18,2.46
302,Uribia,CO,5/13/2020 19:43,11.71,-72.27,94.82,41,33,17.72
303,Kavaratti,IN,5/13/2020 19:43,10.57,72.64,85.87,73,97,8.61
304,Pio Xii,BR,5/13/2020 19:43,-3.83,-45.15,85.17,77,3,2.71
305,Manokwari,ID,5/13/2020 19:43,-0.87,134.08,80.4,73,37,6.13
306,Rocha,UY,5/13/2020 19:43,-34.48,-54.33,57.65,72,0,8.59
307,Jiquilisco,SV,5/13/2020 19:43,13.32,-88.58,86,74,75,8.05
308,La Libertad,EC,5/13/2020 19:43,-2.23,-80.9,82.4,69,77,10.29
309,Pangnirtung,CA,5/13/2020 19:43,66.15,-65.71,30.2,80,75,8.05
310,Sao Filipe,CV,5/13/2020 19:43,14.9,-24.5,73.15,74,1,16.75
311,Diego De Almagro,CL,5/13/2020 19:43,-26.37,-70.05,75.56,19,0,11.03
312,Prince Rupert,CA,5/13/2020 19:43,54.32,-130.32,55.4,76,1,3.36
313,Padang,ID,5/13/2020 19:43,-0.95,100.35,79.81,80,9,2.44
314,Saint Austell,GB,5/13/2020 19:43,50.34,-4.77,55,50,53,13.87
315,Gotsu,JP,5/13/2020 19:43,35,132.22,56.93,49,0,6.26
316,Acarau,BR,5/13/2020 19:43,-2.89,-40.12,81.54,84,76,9.91
