,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Henties Bay,NA,-22.116,14.2845,57.31,92,91,5.57,overcast clouds
330,Kloulklubed,PW,7.0419,134.2556,80.42,78,100,4.09,light rain
331,Lamu,KE,-2.2717,40.902,77.22,66,88,11.65,overcast clouds
332,Rio Grande,BR,-32.035,-52.0986,61.75,97,100,11.32,moderate rain
333,Eenhana,NA,-17.4667,16.3333,71.24,38,46,5.1,scattered clouds
334,Colon,PA,9.3592,-79.9014,77.45,94,99,1.99,overcast clouds
335,Westport,US,41.1415,-73.3579,58.82,65,0,12.66,clear sky
336,Bafq,IR,31.6128,55.4107,78.42,15,37,10.45,scattered clouds
337,Skibbereen,IE,51.55,-9.2667,59.11,92,91,22.62,overcast clouds
338,Tamandare,BR,-8.7597,-35.1047,73.63,81,2,5.91,clear sky
339,Praya,CV,14.9215,-23.5087,73.94,88,20,5.75,few clouds
340,Igarka,RU,67.4667,86.5833,33.44,99,100,15.97,light snow
341,Shimoda,JP,34.6667,138.95,73.76,54,4,9.8,clear sky
